priority_tier,status,check_in,check_out,segment_type,nights,lead_time_days,lead_time_status,our_base_nightly,our_cleaning_fee,our_total_price,our_effective_nightly,our_percentile_rank,target_percentile,comp_p50_eff,comp_p75_eff,comp_p80_eff,comp_target_eff,price_diff_percent,recommended_base_nightly,base_diff,action_summary,hist_sample_count,hist_min_rate,hist_max_rate,hist_median_rate,hist_flag
URGENT_ACTION,OVERPRICED,2026-09-13,2026-09-17,midweek,4,1,LAST_MINUTE,399.0,500,2096.0,524.0,50.0,31.5,622.38,728.44,846.3,494.56,27.7,285.0,-114.0,↓ Reduce $399 → $285,2,370.32,536.25,453.28,-35% vs Track Record
MODERATE_ADJUSTMENT,SLIGHTLY HIGH,2026-09-21,2026-09-24,midweek,3,9,NORMAL_WINDOW,399.0,500,1697.0,565.67,34.8,31.5,726.0,979.84,1086.6,597.51,13.4,332.0,-67.0,↓ Reduce $399 → $332,4,346.67,536.25,361.68,Aligned With Track Record
INFORMATIONAL,ON TARGET,2026-09-24,2026-09-27,weekend,3,12,NORMAL_WINDOW,549.0,500,2147.0,715.67,45.5,45.0,821.0,990.33,1044.33,760.34,5.4,512.0,-37.0,,5,520.01,804.38,549.0,Aligned With Track Record
MODERATE_ADJUSTMENT,SLIGHTLY HIGH,2026-09-27,2026-09-30,midweek,3,15,NORMAL_WINDOW,399.0,500,1697.0,565.67,38.9,31.5,724.5,1040.33,1095.0,578.37,19.6,306.0,-93.0,↓ Reduce $399 → $306,4,346.67,536.25,361.68,Aligned With Track Record
MODERATE_ADJUSTMENT,SLIGHTLY HIGH,2026-10-11,2026-10-14,midweek,3,29,NORMAL_WINDOW,532.33,500,2097.0,699.0,65.0,31.5,738.83,1011.0,1196.27,654.16,23.8,398.0,-134.0,↓ Reduce $532 → $398,5,332.91,406.01,353.04,Aligned With Track Record
MODERATE_ADJUSTMENT,SLIGHTLY LOW,2026-10-26,2026-10-29,midweek,3,44,NORMAL_WINDOW,399.0,500,1697.0,565.67,35.7,38.5,940.84,1372.67,1496.27,733.58,-11.0,469.0,70.0,↑ Increase $399 → $469,8,332.91,550.22,407.15,Aligned With Track Record
MODERATE_ADJUSTMENT,SLIGHTLY LOW,2026-11-08,2026-11-11,midweek,3,57,NORMAL_WINDOW,490.0,500,1970.0,656.67,27.8,38.5,982.16,1417.25,1664.33,846.22,-10.2,565.0,75.0,↑ Increase $490 → $565,7,364.79,625.69,522.98,Aligned With Track Record
MODERATE_ADJUSTMENT,SLIGHTLY LOW,2026-11-15,2026-11-19,midweek,4,64,NORMAL_WINDOW,490.0,500,2460.0,615.0,32.0,45.5,1015.5,1755.75,1816.6,904.96,-17.7,623.0,133.0,↑ Increase $490 → $623,6,364.79,625.69,465.63,+40% vs Track Record
URGENT_ACTION,OVERPRICED,2026-11-29,2026-12-03,midweek,4,78,NORMAL_WINDOW,751.5,500,3506.0,876.5,52.2,45.5,917.75,1241.12,1403.05,817.02,30.9,545.0,-206.0,↓ Reduce $752 → $545,2,353.04,625.69,489.37,Aligned With Track Record
MODERATE_ADJUSTMENT,SLIGHTLY LOW,2026-12-03,2026-12-06,weekend,3,82,NORMAL_WINDOW,714.0,500,2642.0,880.67,47.1,65.0,1113.33,1233.33,1318.4,1195.47,-10.6,819.0,105.0,↑ Increase $714 → $819,3,529.55,938.53,631.22,Aligned With Track Record
INFORMATIONAL,ON TARGET,2026-12-06,2026-12-10,midweek,4,85,NORMAL_WINDOW,554.0,500,2716.0,679.0,38.1,45.5,1003.5,1303.75,1538.75,875.02,-5.8,596.0,42.0,,4,353.04,625.69,535.49,Aligned With Track Record
MODERATE_ADJUSTMENT,SLIGHTLY LOW,2026-12-27,2026-12-31,midweek,4,106,NORMAL_WINDOW,1060.0,500,4740.0,1185.0,28.6,45.5,1904.25,2538.38,2563.35,1877.72,-22.7,1408.0,348.0,↑ Increase $1060 → $1408,7,313.3,1573.98,577.76,+139% vs Track Record
