priority_tier,status,check_in,check_out,segment_type,nights,lead_time_days,our_base_nightly,our_cleaning_fee,our_total_price,our_effective_nightly,our_percentile_rank,target_percentile,comp_p50_eff,comp_p75_eff,comp_p80_eff,comp_target_eff,price_diff_percent,recommended_base_nightly,base_diff,action_summary
MODERATE_ADJUSTMENT,SLIGHTLY HIGH,2026-09-06,2026-09-10,midweek,4,1,499.0,500.0,2496.0,624.0,42.4,31.5,727.0,1254.75,1313.0,562.29,23.3,381.0,-118.0,↓ Reduce $499 → $381
MODERATE_ADJUSTMENT,SLIGHTLY HIGH,2026-09-13,2026-09-17,midweek,4,8,436.5,500.0,2246.0,561.5,63.4,31.5,568.0,794.0,799.5,519.75,30.5,305.0,-132.0,↓ Reduce $436 → $305
INFORMATIONAL,ON TARGET,2026-09-21,2026-09-24,midweek,3,16,399.0,500.0,1697.0,565.67,36.6,31.5,797.67,1144.67,1186.67,612.2,6.6,364.0,-35.0,
INFORMATIONAL,ON TARGET,2026-09-24,2026-09-27,weekend,3,19,549.0,500.0,2147.0,715.67,43.8,45.0,841.0,1049.59,1158.8,813.65,-5.3,589.0,40.0,
MODERATE_ADJUSTMENT,SLIGHTLY HIGH,2026-09-27,2026-09-30,midweek,3,22,449.0,500.0,1847.0,615.67,58.3,31.5,596.0,824.25,870.0,516.47,34.0,293.0,-156.0,↓ Reduce $449 → $293
MODERATE_ADJUSTMENT,SLIGHTLY HIGH,2026-10-11,2026-10-14,midweek,3,36,532.33,500.0,2097.0,699.0,58.8,38.5,762.66,920.33,954.6,648.04,25.0,393.0,-139.0,↓ Reduce $532 → $393
MODERATE_ADJUSTMENT,SLIGHTLY LOW,2026-10-26,2026-10-29,midweek,3,51,399.0,500.0,1697.0,565.67,25.6,38.5,917.0,1166.34,1187.1,692.52,-18.3,526.0,127.0,↑ Increase $399 → $526
INFORMATIONAL,ON TARGET,2026-11-08,2026-11-11,midweek,3,64,465.67,500.0,1897.0,632.33,41.4,45.5,838.0,1240.67,1279.47,810.41,-6.2,508.0,42.0,
INFORMATIONAL,ON TARGET,2026-11-15,2026-11-19,midweek,4,71,449.0,500.0,2296.0,574.0,40.5,45.5,847.0,1177.31,1302.4,742.01,-6.5,489.0,40.0,
URGENT_ACTION,OVERPRICED,2026-11-29,2026-12-03,midweek,4,85,674.0,500.0,3196.0,799.0,72.7,45.5,764.25,1094.0,1153.2,704.71,38.1,454.0,-220.0,↓ Reduce $674 → $454
MODERATE_ADJUSTMENT,SLIGHTLY LOW,2026-12-03,2026-12-06,weekend,3,89,599.0,500.0,2297.0,765.67,41.4,65.0,954.0,1660.33,1711.2,1145.93,-19.3,782.0,183.0,↑ Increase $599 → $782
INFORMATIONAL,ON TARGET,2026-12-06,2026-12-10,midweek,4,92,449.0,500.0,2296.0,574.0,50.0,45.5,690.88,1039.88,1099.05,677.29,2.4,436.0,-13.0,
MODERATE_ADJUSTMENT,SLIGHTLY LOW,2026-12-20,2026-12-23,midweek,3,106,465.67,500.0,1897.0,632.33,29.0,45.5,1079.67,1769.5,2041.0,962.85,-21.1,634.0,168.0,↑ Increase $466 → $634
MODERATE_ADJUSTMENT,SLIGHTLY LOW,2026-12-27,2026-12-31,midweek,4,113,949.0,500.0,4296.0,1074.0,25.0,45.5,1858.75,2707.75,2786.05,1840.85,-28.6,1379.0,430.0,↑ Increase $949 → $1379
INFORMATIONAL,ON TARGET,2027-01-04,2027-01-07,midweek,3,121,649.0,500.0,2447.0,815.67,37.8,45.5,1115.67,1625.0,1662.0,1091.94,-9.5,735.0,86.0,
MODERATE_ADJUSTMENT,SLIGHTLY LOW,2027-01-07,2027-01-10,weekend,3,124,899.0,500.0,3197.0,1065.67,51.3,65.0,1262.67,1702.34,1847.87,1574.5,-17.6,1127.0,228.0,↑ Increase $899 → $1127
MODERATE_ADJUSTMENT,SLIGHTLY HIGH,2027-01-10,2027-01-14,midweek,4,127,711.5,500.0,3346.0,836.5,61.9,45.5,876.25,1194.88,1304.45,813.12,25.4,542.0,-170.0,↓ Reduce $712 → $542
MODERATE_ADJUSTMENT,SLIGHTLY LOW,2027-01-19,2027-01-21,midweek,2,136,649.0,500.0,1798.0,899.0,28.9,45.5,1207.0,1594.12,1686.3,1163.81,-22.8,914.0,265.0,↑ Increase $649 → $914
MODERATE_ADJUSTMENT,SLIGHTLY LOW,2027-01-21,2027-01-24,weekend,3,138,899.0,500.0,3197.0,1065.67,51.5,65.0,1289.0,1737.0,1815.4,1558.14,-16.7,1113.0,214.0,↑ Increase $899 → $1113
INFORMATIONAL,ON TARGET,2027-01-24,2027-01-28,midweek,4,141,711.5,500.0,3346.0,836.5,52.8,45.5,1005.25,1301.06,1385.25,965.86,5.6,667.0,-44.0,
MODERATE_ADJUSTMENT,SLIGHTLY LOW,2027-01-28,2027-01-31,weekend,3,145,899.0,500.0,3197.0,1065.67,40.0,65.0,1480.0,1946.92,2087.67,1819.9,-28.7,1328.0,429.0,↑ Increase $899 → $1328
MODERATE_ADJUSTMENT,SLIGHTLY HIGH,2027-01-31,2027-02-04,midweek,4,148,786.5,500.0,3646.0,911.5,61.4,45.5,980.0,1305.5,1409.6,934.63,19.1,641.0,-146.0,↓ Reduce $786 → $641
MODERATE_ADJUSTMENT,SLIGHTLY LOW,2027-02-04,2027-02-07,weekend,3,152,1099.0,500.0,3797.0,1265.67,41.2,65.0,1758.33,2222.34,2383.93,1906.0,-18.9,1394.0,295.0,↑ Increase $1099 → $1394
MODERATE_ADJUSTMENT,SLIGHTLY LOW,2027-02-07,2027-02-10,midweek,3,155,865.67,500.0,3097.0,1032.33,24.2,45.5,1608.33,1956.67,2064.13,1524.87,-17.6,1086.0,220.0,↑ Increase $866 → $1086
INFORMATIONAL,ON TARGET,2027-02-21,2027-02-25,midweek,4,169,836.5,500.0,3846.0,961.5,45.2,45.5,1320.25,1658.75,1768.0,1186.99,-1.0,847.0,10.0,
MODERATE_ADJUSTMENT,SLIGHTLY LOW,2027-02-25,2027-02-28,weekend,3,173,1099.0,500.0,3797.0,1265.67,30.3,65.0,2014.0,2312.17,2365.93,2263.1,-31.7,1687.0,588.0,↑ Increase $1099 → $1687
INFORMATIONAL,ON TARGET,2027-02-28,2027-03-04,midweek,4,176,836.5,500.0,3846.0,961.5,47.4,45.5,1201.12,1609.19,1668.35,1160.18,1.3,825.0,-12.0,
MODERATE_ADJUSTMENT,SLIGHTLY LOW,2027-03-04,2027-03-07,weekend,3,180,1199.0,500.0,4097.0,1365.67,35.3,65.0,1959.16,2496.58,2541.93,2307.08,-27.6,1721.0,522.0,↑ Increase $1199 → $1721
INFORMATIONAL,ON TARGET,2027-03-07,2027-03-11,midweek,4,183,861.5,500.0,3946.0,986.5,51.4,49.0,1203.0,1678.0,1821.8,1190.22,1.3,849.0,-12.0,
MODERATE_ADJUSTMENT,SLIGHTLY LOW,2027-03-11,2027-03-14,weekend,3,187,1199.0,500.0,4097.0,1365.67,31.4,70.0,2063.33,2479.5,2520.2,2398.53,-30.4,1796.0,597.0,↑ Increase $1199 → $1796
MODERATE_ADJUSTMENT,SLIGHTLY LOW,2027-03-14,2027-03-17,midweek,3,190,899.0,500.0,3197.0,1065.67,19.4,49.0,1677.66,2310.25,2440.0,1654.8,-21.6,1192.0,293.0,↑ Increase $899 → $1192
MODERATE_ADJUSTMENT,SLIGHTLY HIGH,2027-03-21,2027-03-25,midweek,4,197,1099.0,500.0,4896.0,1224.0,57.1,49.0,1360.5,1708.88,1775.2,1360.08,10.3,985.0,-114.0,↓ Reduce $1099 → $985
MODERATE_ADJUSTMENT,SLIGHTLY LOW,2027-03-25,2027-03-28,weekend,3,201,1099.0,500.0,3797.0,1265.67,27.3,70.0,1950.0,2343.33,2451.93,2313.4,-33.2,1728.0,629.0,↑ Increase $1099 → $1728
MODERATE_ADJUSTMENT,SLIGHTLY LOW,2027-03-28,2027-04-01,midweek,4,204,836.5,500.0,3846.0,961.5,37.1,49.0,1319.5,1663.0,1924.25,1315.93,-10.7,952.0,116.0,↑ Increase $836 → $952
MODERATE_ADJUSTMENT,SLIGHTLY LOW,2027-04-01,2027-04-04,weekend,3,208,1199.0,500.0,4097.0,1365.67,56.2,70.0,1524.5,2121.84,2155.33,2058.13,-18.9,1517.0,318.0,↑ Increase $1199 → $1517
MODERATE_ADJUSTMENT,SLIGHTLY HIGH,2027-04-04,2027-04-08,midweek,4,211,1049.0,500.0,4696.0,1174.0,64.4,49.0,1133.0,1730.0,1836.75,1110.78,29.4,782.0,-267.0,↓ Reduce $1049 → $782
MODERATE_ADJUSTMENT,SLIGHTLY LOW,2027-04-08,2027-04-11,weekend,3,215,1199.0,500.0,4097.0,1365.67,43.6,70.0,1709.67,2328.16,2447.4,2171.6,-23.1,1610.0,411.0,↑ Increase $1199 → $1610
URGENT_ACTION,OVERPRICED,2027-04-11,2027-04-15,midweek,4,218,1049.0,500.0,4696.0,1174.0,72.9,49.0,1105.75,1547.5,1662.3,1053.35,36.5,735.0,-314.0,↓ Reduce $1049 → $735
