priority_tier,status,check_in,check_out,segment_type,nights,lead_time_days,lead_time_status,our_base_nightly,our_cleaning_fee,our_total_price,our_effective_nightly,our_percentile_rank,target_percentile,comp_p50_eff,comp_p75_eff,comp_p80_eff,comp_target_eff,price_diff_percent,recommended_base_nightly,base_diff,action_summary,hist_sample_count,hist_min_rate,hist_max_rate,hist_median_rate,hist_flag
INFORMATIONAL,ON TARGET,2026-09-13,2026-09-17,midweek,4,6,LAST_MINUTE,436.5,500,2246.0,561.5,50.0,31.5,0.0,0.0,0.0,0.0,0.0,436.5,0.0,,2,370.32,536.25,453.28,Aligned With Track Record
URGENT_ACTION,OVERPRICED,2026-09-21,2026-09-24,midweek,3,14,NORMAL_WINDOW,399.0,500,1697.0,565.67,100.0,31.5,2.0,2.67,2.8,2.0,32533.5,249.0,-150.0,↓ Reduce $399 → $249 • High compression,4,346.67,536.25,361.68,-31% vs Track Record
URGENT_ACTION,OVERPRICED,2026-09-24,2026-09-27,weekend,3,17,NORMAL_WINDOW,549.0,500,2147.0,715.67,100.0,45.0,3.33,3.33,3.33,3.33,23043.2,249.0,-300.0,↓ Reduce $549 → $249 • High compression,5,520.01,804.38,549.0,-55% vs Track Record
URGENT_ACTION,OVERPRICED,2026-09-27,2026-09-30,midweek,3,20,NORMAL_WINDOW,449.0,500,1847.0,615.67,100.0,31.5,2.0,2.67,2.8,2.0,34500.0,249.0,-200.0,↓ Reduce $449 → $249 • High compression,4,346.67,536.25,361.68,-31% vs Track Record
INFORMATIONAL,ON TARGET,2026-10-11,2026-10-14,midweek,3,34,NORMAL_WINDOW,532.33,500,2097.0,699.0,50.0,38.5,0.0,0.0,0.0,0.0,0.0,532.33,0.0,,5,332.91,406.01,353.04,+51% vs Track Record
URGENT_ACTION,OVERPRICED,2026-10-26,2026-10-29,midweek,3,49,NORMAL_WINDOW,399.0,500,1697.0,565.67,100.0,38.5,2.0,2.67,2.8,2.0,32533.5,249.0,-150.0,↓ Reduce $399 → $249 • High compression,8,332.91,550.22,407.15,-39% vs Track Record
URGENT_ACTION,OVERPRICED,2026-11-08,2026-11-11,midweek,3,62,NORMAL_WINDOW,465.67,500,1897.0,632.33,100.0,45.5,3.33,3.33,3.33,3.21,23576.0,249.0,-217.0,↓ Reduce $466 → $249 • High compression,7,364.79,625.69,522.98,-52% vs Track Record
INFORMATIONAL,ON TARGET,2026-11-15,2026-11-19,midweek,4,69,NORMAL_WINDOW,449.0,500,2296.0,574.0,50.0,45.5,0.0,0.0,0.0,0.0,0.0,449.0,0.0,,6,364.79,625.69,465.63,Aligned With Track Record
INFORMATIONAL,ON TARGET,2026-11-29,2026-12-03,midweek,4,83,NORMAL_WINDOW,674.0,500,3196.0,799.0,50.0,45.5,0.0,0.0,0.0,0.0,0.0,674.0,0.0,,2,353.04,625.69,489.37,+38% vs Track Record
URGENT_ACTION,OVERPRICED,2026-12-03,2026-12-06,weekend,3,87,NORMAL_WINDOW,599.0,500,2297.0,765.67,100.0,65.0,2.0,2.0,2.0,2.0,46166.5,249.0,-350.0,↓ Reduce $599 → $249 • High compression,3,529.55,938.53,631.22,-61% vs Track Record
URGENT_ACTION,OVERPRICED,2026-12-06,2026-12-10,midweek,4,90,NORMAL_WINDOW,449.0,500,2296.0,574.0,100.0,45.5,1.5,1.5,1.5,1.5,46133.3,249.0,-200.0,↓ Reduce $449 → $249 • High compression,3,353.04,625.69,605.41,-59% vs Track Record
INFORMATIONAL,ON TARGET,2026-12-20,2026-12-23,midweek,3,104,NORMAL_WINDOW,465.67,500,1897.0,632.33,50.0,45.5,0.0,0.0,0.0,0.0,0.0,465.67,0.0,,5,353.04,1573.98,605.41,Aligned With Track Record
