priority_tier,status,check_in,check_out,segment_type,nights,lead_time_days,lead_time_status,our_base_nightly,our_cleaning_fee,our_total_price,our_effective_nightly,our_percentile_rank,target_percentile,comp_p50_eff,comp_p75_eff,comp_p80_eff,comp_target_eff,price_diff_percent,recommended_base_nightly,base_diff,action_summary,hist_sample_count,hist_min_rate,hist_max_rate,hist_median_rate,hist_flag
URGENT_ACTION,OVERPRICED,2026-09-13,2026-09-17,midweek,4,3,LAST_MINUTE,399.0,500,2096.0,524.0,45.0,31.5,641.0,786.5,965.35,479.62,31.7,273.0,-126.0,↓ Reduce $399 → $273,2,370.32,536.25,453.28,-40% vs Track Record
MODERATE_ADJUSTMENT,SLIGHTLY HIGH,2026-09-21,2026-09-24,midweek,3,11,LAST_MINUTE,399.0,500,1697.0,565.67,39.1,31.5,708.67,941.34,1016.2,587.45,15.3,324.0,-75.0,↓ Reduce $399 → $324,4,346.67,536.25,361.68,Aligned With Track Record
INFORMATIONAL,ON TARGET,2026-09-24,2026-09-27,weekend,3,14,NORMAL_WINDOW,549.0,500,2147.0,715.67,46.2,45.0,821.0,970.0,1012.4,748.2,7.1,502.0,-47.0,,4,520.01,804.38,542.51,Aligned With Track Record
MODERATE_ADJUSTMENT,SLIGHTLY HIGH,2026-09-27,2026-09-30,midweek,3,17,NORMAL_WINDOW,399.0,500,1697.0,565.67,33.3,31.5,762.0,1091.0,1116.67,617.77,12.0,338.0,-61.0,↓ Reduce $399 → $338,4,346.67,536.25,361.68,Aligned With Track Record
MODERATE_ADJUSTMENT,SLIGHTLY HIGH,2026-10-11,2026-10-14,midweek,3,31,NORMAL_WINDOW,532.33,500,2097.0,699.0,70.6,38.5,717.33,924.33,945.67,661.99,22.4,405.0,-127.0,↓ Reduce $532 → $405,5,332.91,406.01,353.04,Aligned With Track Record
MODERATE_ADJUSTMENT,SLIGHTLY LOW,2026-10-26,2026-10-29,midweek,3,46,NORMAL_WINDOW,399.0,500,1697.0,565.67,31.0,38.5,941.67,1427.33,1563.47,758.37,-13.9,491.0,92.0,↑ Increase $399 → $491,8,332.91,550.22,407.15,+28% vs Track Record
MODERATE_ADJUSTMENT,SLIGHTLY LOW,2026-11-08,2026-11-11,midweek,3,59,NORMAL_WINDOW,490.0,500,1970.0,656.67,21.1,38.5,1133.0,1627.0,1877.93,955.6,-17.3,627.0,137.0,↑ Increase $490 → $627,7,364.79,625.69,522.98,Aligned With Track Record
MODERATE_ADJUSTMENT,SLIGHTLY LOW,2026-11-15,2026-11-19,midweek,4,66,NORMAL_WINDOW,490.0,500,2460.0,615.0,29.6,45.5,952.5,1242.38,1633.05,904.79,-17.7,622.0,132.0,↑ Increase $490 → $622,6,364.79,625.69,465.63,+36% vs Track Record
URGENT_ACTION,OVERPRICED,2026-11-29,2026-12-03,midweek,4,80,NORMAL_WINDOW,751.5,500,3506.0,876.5,56.5,45.5,916.5,1155.38,1211.6,816.76,30.9,544.0,-208.0,↓ Reduce $752 → $544,2,353.04,625.69,489.37,Aligned With Track Record
INFORMATIONAL,ON TARGET,2026-12-03,2026-12-06,weekend,3,84,NORMAL_WINDOW,714.0,500,2642.0,880.67,58.8,65.0,940.33,1175.33,1222.0,1135.27,-5.9,769.0,55.0,,3,529.55,938.53,631.22,Aligned With Track Record
INFORMATIONAL,ON TARGET,2026-12-06,2026-12-10,midweek,4,87,NORMAL_WINDOW,554.0,500,2716.0,679.0,45.5,45.5,918.0,1330.0,1499.45,819.62,0.6,550.0,-4.0,,4,353.04,625.69,535.49,Aligned With Track Record
URGENT_ACTION,UNDERPRICED,2026-12-27,2026-12-31,midweek,4,108,NORMAL_WINDOW,1060.0,500,4740.0,1185.0,28.6,45.5,2104.0,2519.5,2537.35,2007.14,-27.7,1514.0,454.0,↑ Increase $1060 → $1514,7,313.3,1573.98,577.76,+153% vs Track Record
